# from | to | time_min | transfer
1;2;4;0
2;3;4;0
3;4;2;0
4;5;2;0
5;6;3;0
6;7;3;0
7;8;3;0
8;9;3;0
9;10;3;0
10;43;3;1
10;11;2;0
11;52;3;1
11;12;2;0
12;66;3;1
12;13;2;0
13;30;2;1
13;14;2;0
14;15;3;0
15;16;4;0
16;74;3;1
16;17;2;0
17;18;3;0
18;19;2;0
20;21;3;0
21;22;2;0
22;23;3;0
23;24;3;0
24;25;3;0
25;26;4;0
26;27;2;0
27;28;4;0
28;42;4;1
28;29;2;0
29;51;4;1
29;65;4;1
29;30;2;0
30;31;3;0
31;32;2;0
32;33;2;0
33;34;3;0
34;35;2;0
35;36;5;0
36;37;3;0
38;39;4;0
39;40;4;0
40;41;4;0
41;42;4;0
42;43;3;0
43;44;3;0
44;54;2;1
44;45;4;0
45;46;3;0
46;47;4;0
47;48;3;0
48;49;4;0
50;51;6;0
51;65;3;1
51;52;4;0
52;53;2;0
53;54;2;0
54;55;3;0
55;56;3;0
56;57;3;0
57;58;3;0
59;60;3;0
60;61;3;0
61;62;3;0
62;63;2;0
63;64;3;0
64;65;2;0
65;66;3;0
66;67;3;0
67;68;3;0
68;69;3;0
69;70;3;0
70;71;2;0
71;72;3;0
72;73;3;0
74;75;5;0
